채용사이트명,채용사이트_공고id,직무_대분류,직무_소분류,경력사항,회사명,근무지역(회사주소),회사로고이미지,공고제목,공고본문_타입,공고본문_raw,공고출처url,모집시작일,모집마감일,공고게시일,공고본문
자소설,96850,IT/인터넷,임시,임시,포스코인터내셔널,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/000/059/webp/%ED%8F%AC%EC%8A%A4%EC%BD%94%EC%9D%B8%ED%84%B0%EB%82%B4%EC%85%94%EB%84%90_CI_jpg.webp?1698910453,2025년 상반기 경력직 채용,img,,https://recruit.posco.com/h22a01-front/H22A1001.html?id=414000,2025-02-24T10:00:00.000+09:00,2025-03-12T15:00:00.000+09:00,2025-02-24T10:12:16.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/452/webp/_%EC%B5%9C%EC%A2%85_25%EC%83%81_%ED%8F%AC%EC%8A%A4%EC%BD%94%EC%9D%B8%ED%84%B0%EB%82%B4%EC%85%94%EB%84%90_%EA%B2%BD%EB%A0%A5%EC%B1%84%EC%9A%A9_%EC%9B%B9%ED%94%8C%EB%9D%BC%EC%9D%B4%EC%96%B4.webp?1740359396
자소설,96848,IT/인터넷,임시,임시,SKC,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/002/623/webp/%EC%9D%B4%EB%AF%B8%EC%A7%80_38.webp?1684485946,2025 신입구성원 채용,img,,https://litt.ly/skcfamily,2025-02-24T13:00:00.000+09:00,2025-03-16T23:59:00.000+09:00,2025-02-24T09:48:14.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/446/webp/SKC_Family_%EC%9B%B9%ED%94%8C%EB%9D%BC%EC%9D%B4%EC%96%B4_F.webp?1740357831
자소설,96841,IT/인터넷,임시,임시,SJG그룹,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/015/570/webp/channels4_profile.webp?1740122532,2025 신입/경력직원 채용,img,,https://recruit.sjku.co.kr/,2025-02-24T10:00:00.000+09:00,2025-03-09T23:59:00.000+09:00,2025-02-21T16:22:08.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/324/webp/SJG_%EB%AA%A8%EC%A7%91%EC%9A%94%EA%B0%95(JD).webp?1740122311
자소설,96837,IT/인터넷,임시,임시,한국알프스,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/001/531/webp/%EC%95%8C%ED%94%84%EC%8A%A4.webp?1684485502,부문별 경력/신입 채용,img,,http://recruit.alps.co.kr,2025-02-22T00:00:00.000+09:00,2025-03-03T23:59:00.000+09:00,2025-02-21T15:50:35.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/454/webp/%ED%95%9C%EA%B5%AD%EC%95%8C%ED%94%84%EC%8A%A4_250224.webp?1740359713
자소설,96836,IT/인터넷,임시,임시,온더플래닛,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/011/597/webp/%EA%B8%B0%EB%B3%B8_%EB%A1%9C%EA%B3%A0.webp?1684488052,2025 하이패스 인턴십,img,,https://ontheplanet.ninehire.site/job_posting/kGg9D0JG,2025-02-21T13:00:00.000+09:00,2025-02-26T23:59:00.000+09:00,2025-02-21T15:02:18.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/273/webp/%E2%98%85_%EC%98%A8%EB%8D%94%ED%94%8C%EB%9E%98%EB%8B%9B_2025%EC%9D%B8%ED%84%B4%EC%B1%84%EC%9A%A9%EA%B3%B5%EA%B3%A0_%EC%B5%9C%EC%A2%85.webp?1740116485
자소설,96835,IT/인터넷,임시,임시,이노션,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/001/070/webp/b8334c4c-879f-430c-801c-b6bf52bd29c7.webp?1692252021,테크니컬 라이터(Technical Writer),img,,https://innocean.recruiter.co.kr/career/jobs/46347,2025-02-21T14:24:00.000+09:00,2025-03-03T23:59:00.000+09:00,2025-02-21T14:36:12.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/268/webp/%28%ED%94%84%EA%B3%84%29_%ED%85%8C%ED%81%AC%EB%8B%88%EC%BB%AC_%EB%9D%BC%EC%9D%B4%ED%84%B0%28Technical_Writer%29.webp?1740115564
자소설,96830,IT/인터넷,임시,임시,한국경제인협회,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/000/191/webp/9_%ED%95%9C%EA%B5%AD%EA%B2%BD%EC%A0%9C%EC%9D%B8%ED%98%91%ED%9A%8C_CI.webp?1740441366,2025년 상반기 신입 및 경력직원 공개채용,img,,https://dware.intojob.co.kr/main/fki.jsp,2025-02-22T00:00:00.000+09:00,2025-03-09T23:59:00.000+09:00,2025-02-21T13:16:02.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/313/webp/(%ED%95%9C%EA%B5%AD%EA%B2%BD%EC%A0%9C%EC%9D%B8%ED%98%91%ED%9A%8C)%EC%9B%B9%EA%B3%B5%EA%B3%A0_%EB%94%94%EC%9E%90%EC%9D%B8_%EC%B5%9C%EC%A2%85.webp?1740118411
자소설,96826,IT/인터넷,임시,임시,한국수출입은행,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/000/710/webp/0000344403_%ED%95%9C%EA%B5%AD%EC%88%98%EC%B6%9C%EC%9E%85%EC%9D%80%ED%96%89_185x72.webp?1684485245,2025년도 상반기 전문직행원(신입) 채용,img,,https://koreaexim.incruit.com/,2025-02-21T13:00:00.000+09:00,2025-03-10T10:00:00.000+09:00,2025-02-21T12:56:56.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/277/webp/%E1%84%92%E1%85%A1%E1%86%AB%E1%84%80%E1%85%AE%E1%86%A8%E1%84%89%E1%85%AE%E1%84%8E%E1%85%AE%E1%86%AF%E1%84%8B%E1%85%B5%E1%86%B8%E1%84%8B%E1%85%B3%E1%86%AB%E1%84%92%E1%85%A2%E1%86%BC_%E1%84%8B%E1%85%AC%E1%84%87%E1%85%AE.webp?1740116836
자소설,96822,IT/인터넷,임시,임시,인하대학교 미래인재개발원,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/014/757/webp/%EB%AF%B8%EB%9E%98%EC%9D%B8%EC%9E%AC%EA%B0%9C%EB%B0%9C%EC%9B%90_%EB%91%90%EC%A4%84_%ED%88%AC%ED%86%A4.webp?1684488797,게임업계 취업교육 훈련생 모집 (전액 국비무료/2025 K-디지털 트레이닝),img,,https://inhagame.modoo.at/,2025-02-20T16:46:00.000+09:00,2025-03-13T23:59:00.000+09:00,2025-02-21T09:48:50.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/194/webp/001.webp?1740099189
자소설,96819,IT/인터넷,임시,임시,한국사회보장정보원,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/004/213/webp/khwis7_0131_001.webp?1700665815,2025년도 제1차 직원 채용공고,img,,https://2025ssis.recruitlab.co.kr/,2025-02-20T09:00:00.000+09:00,2025-03-07T18:00:00.000+09:00,2025-02-20T17:15:06.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/149/webp/20250220_171500.webp?1740039368
