채용사이트명,채용사이트_공고id,직무_대분류,직무_소분류,경력사항,회사명,근무지역(회사주소),회사로고이미지,공고제목,공고본문_타입,공고본문_raw,공고출처url,모집시작일,모집마감일,공고게시일,공고본문
자소설,96788,0,임시,임시,이노션,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/001/070/webp/b8334c4c-879f-430c-801c-b6bf52bd29c7.webp?1692252021,마케팅 솔루션 구축 (Google Analytics 4),img,,https://innocean.recruiter.co.kr/career/jobs/46117,2025-02-19T10:56:00.000+09:00,2025-03-03T23:59:00.000+09:00,2025-02-19T11:03:45.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/294/813/webp/%28%ED%94%84%EA%B3%84%29_%EB%A7%88%EC%BC%80%ED%8C%85_%EC%86%94%EB%A3%A8%EC%85%98_%EA%B5%AC%EC%B6%95_%28Google_Analytic4%29.webp?1739930417
자소설,96789,0,임시,임시,이노션,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/001/070/webp/b8334c4c-879f-430c-801c-b6bf52bd29c7.webp?1692252021,Data Analyst (데이터 분석),img,,https://innocean.recruiter.co.kr/career/jobs/46118,2025-02-19T11:01:00.000+09:00,2025-03-03T23:59:00.000+09:00,2025-02-19T11:31:16.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/294/815/webp/%28%ED%94%84%EA%B3%84%29_Data_Analyst_%28%EB%8D%B0%EC%9D%B8%29.webp?1739930589
자소설,96794,0,임시,임시,윈스,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/003/239/webp/%EC%9C%88%EC%8A%A4_%EA%B8%B0%EC%97%85%EB%A1%9C%EA%B3%A0.webp?1684486178,사이버 보안 전문인력 양성과정 교육생 6기 모집(부산),img,,https://wins21.recruiter.co.kr/career/home,2025-02-19T15:11:00.000+09:00,2025-03-05T23:59:00.000+09:00,2025-02-19T15:29:38.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/294/903/webp/%ED%8F%AC%EC%8A%A4%ED%84%B0_240219_6%EA%B8%B0_%EB%B6%80%EC%82%B0_%EA%B5%90%EC%9C%A1%EC%83%9D_v3.0.webp?1739945785
